topic_id,topic_name,subfield_display_name,field_display_name,keywords,works_count
https://openalex.org/T11881,Crystallization and Solubility Studies,Materials Chemistry,Materials Science,Crystallization; Nucleation; Solubility; Polymorphism; Ultrasound-Assisted Crystallization; Process Analytical Technology; Crystal Growth; Pharmaceutical Crystallization; Continuous Crystallization; Crystal Engineering,974612
https://openalex.org/T12613,X-ray Diffraction in Crystallography,Materials Chemistry,Materials Science,Powder Diffraction; Crystallography; Structure Determination; Pair Distribution Function; Nanoparticles; Rietveld Refinement; Total Scattering; High-Resolution X-Ray Diffraction; Crystal Structure; Quantitative Phase Analysis,220807
https://openalex.org/T10192,Catalytic Processes in Materials Science,Materials Chemistry,Materials Science,Catalysis; Nanoparticles; Oxidation; Ceria; Gold; Metal-Support Interactions; Low-Temperature; Selective Oxidation; NOx Reduction; Methane Activation,195868
https://openalex.org/T12527,Chemistry and Stereochemistry Studies,Organic Chemistry,Chemistry,Chirality; Stereoisomers; Nomenclature; Polymers; Louis Pasteur; Chemical Reactions; Organic Chemistry; Stereogenicity; IUPAC Recommendations; Molecular Asymmetry,179827
https://openalex.org/T13129,Material Properties and Applications,General Materials Science,Materials Science,Polymer Composite Materials; Carbon Fiber Reinforced Plastics; Metal Nanoparticles; Aerospace Applications; Adhesive Joints; High-Temperature Composite Materials; Epoxy Binders; Synthesis Techniques; Structural Properties; Catalytic Conversions,171958
https://openalex.org/T10472,Semiconductor materials and devices,Electrical and Electronic Engineering,Engineering,Atomic Layer Deposition; High-k Dielectrics; Gate Oxides; Semiconductor Devices; Nanoelectronics; Thin Film Growth; Dielectric Breakdown; Metal Gate Transistors; Interface Engineering; NBTI Degradation,162400
https://openalex.org/T11746,Inorganic and Organometallic Chemistry,Organic Chemistry,Chemistry,Catalysis; Organic Synthesis; Functional Group Transformations; Metal Complexes; Spectroscopy; Asymmetric Synthesis; Green Chemistry; Heterocyclic Compounds; Oxidation Reactions; NMR Spectroscopy,153131
https://openalex.org/T11434,Electrochemical Analysis and Applications,Electrochemistry,Chemistry,Electrochemical; Detection; Heavy Metal Ions; Bismuth-Coated Electrodes; Anodic Stripping Voltammetry; Nanoparticle Collisions; Graphene-Based Sensors; Scanning Electrochemical Microscopy; Nanoscale Imaging; Sensor Development,151198
https://openalex.org/T11429,Semiconductor Lasers and Optical Devices,Electrical and Electronic Engineering,Engineering,Optical Interconnects; Semiconductor Lasers; Vertical-Cavity Surface-Emitting Lasers (VCSELs); Self-Mixing Interferometry; Passively Mode-Locked Lasers; High-Speed Data Communication; Optoelectronic Integration; Photonic Crystal Devices; Terahertz Sources; Board-Level Optical Interconnects,145280
https://openalex.org/T12039,Electron and X-Ray Spectroscopy Techniques,"Surfaces, Coatings and Films",Materials Science,X-ray Photoelectron Spectroscopy; Scanning Electron Microscopy; Electron Inelastic Mean Free Paths; Ambient Pressure Photoelectron Spectroscopy; Surface Science; Quantitative Surface Analysis; Secondary Electron Emission; Nanomaterials Characterization; Environmental Scanning Electron Microscopy; Hard X-ray Photoemission Spectroscopy,136319
https://openalex.org/T11201,Metallurgy and Material Forming,Mechanics of Materials,Engineering,Dynamic Recrystallization; Hot Deformation; Constitutive Modeling; Metallic Materials; Flow Behavior; Microstructural Evolution; High Temperature; Nucleation Mechanisms; Artificial Neural Networks; Processing Maps,132952
https://openalex.org/T11472,Analytical Chemistry and Sensors,Bioengineering,Chemical Engineering,Optical Sensors; Ion-Selective Electrodes; Potentiometric Sensors; Fluorescent Nanosensors; Biosensors; Field-Effect Transistors; pH Sensing; Oxygen Measurement; Polymeric Membrane Electrodes; Sol-Gel-Based Nanosensors,131217
https://openalex.org/T10078,Advanced Photocatalysis Techniques,"Renewable Energy, Sustainability and the Environment",Energy,Photocatalyst; Semiconductor; Visible Light; Water Splitting; Graphene; Hydrogen Production; Nanomaterials; Plasmonic; CO2 Reduction; Solar Energy,129950
https://openalex.org/T10022,Semiconductor Quantum Structures and Devices,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Quantum Dots; Semiconductor; Single-Photon Source; Excitons; Microcavity; Band Parameters; Entangled Photons; Optical Emission; Nanowires; Photovoltaics,127998
https://openalex.org/T10377,Metal and Thin Film Mechanics,Mechanics of Materials,Engineering,Nanoindentation; Thin Films; Coatings; Mechanical Properties; Sputtering; Hardness; Elastic Modulus; Nanocomposites; Tribological Behavior; X-ray Photoelectron Spectroscopy,123895
https://openalex.org/T10409,Fuel Cells and Related Materials,Electrical and Electronic Engineering,Engineering,Polymer Electrolyte Membranes; Proton Exchange Membranes; Fuel Cell Durability; High-Temperature Operation; Anion Exchange Membranes; Membrane Degradation; PEM Fuel Cells; Hydrogen Fuel Cells; Direct Methanol Fuel Cells; Alkaline Fuel Cells,123164
https://openalex.org/T10163,Metal complexes synthesis and properties,Oncology,Medicine,Platinum-Based Drugs; Cisplatin Resistance; Metal Complexes; Anticancer Agents; Molecular Mechanisms; DNA Interactions; Ruthenium Compounds; Chemical Biology; Drug Development; Cellular Processing,122944
https://openalex.org/T10660,Conducting polymers and applications,Polymers and Plastics,Materials Science,Conducting Polymers; Polyaniline; PEDOT:PSS; Nanofibers; Electrochemical Sensors; Biomedical Applications; Organic Electronics; Electrochromic Materials; Nanocomposites; Tissue Engineering,119279
https://openalex.org/T10494,Plant Virus Research Studies,Plant Science,Agricultural and Biological Sciences,Viral RNA Silencing; Plant Immunity; Gene Silencing; Virus-Host Interactions; Geminiviruses; Small RNAs; Recombination Analysis; Virus Transmission; RNA-dependent RNA Polymerases; Virus-induced Gene Silencing,116518
https://openalex.org/T10661,biodegradable polymer synthesis and properties,Biomaterials,Materials Science,Biodegradable Polymers; Polylactic Acid; Polyhydroxyalkanoates; Sustainable Polymers; Tissue Engineering Materials; Ring-Opening Polymerization; Biomedical Applications; Nanocomposites; Green Plastics; Polyester Synthases,113238
https://openalex.org/T10132,Advanced ceramic materials synthesis,Ceramics and Composites,Materials Science,Ceramic Materials; Sintering; Spark Plasma Sintering; High-Temperature Applications; Composite Materials; Nanocrystalline Ceramics; Oxidation Resistance; Porous Ceramics; Ultra-High Temperature Ceramics (UHTCs); Material Properties,111211
https://openalex.org/T10059,Bone Tissue Engineering Materials,Biomedical Engineering,Engineering,Scaffolds; Biomaterials; Tissue Engineering; Bone Regeneration; Hydroxyapatite; Bioceramics; Osteoblast Adhesion; Bioactive Glass; Polymeric Scaffolds; Angiogenesis,109952
https://openalex.org/T10099,GaN-based semiconductor devices and materials,Condensed Matter Physics,Physics and Astronomy,III-Nitrides; Semiconductors; Light-Emitting Diodes; GaN; AlGaN/GaN HEMTs; Defects and Impurities; Solid-State Lighting; Nanowires; UV LEDs; Band Parameters,109184
https://openalex.org/T12959,Engineering and Materials Science Studies,Mechanical Engineering,Engineering,Lightweight Materials; Automotive Engineering; Composite Structures; Ultrasonic Testing; Thermoplastic Composites; Additive Manufacturing; Structural Analysis; Hot-Dip Galvanization; Machine Elements; Renewable Resources,109100
https://openalex.org/T10030,Electrocatalysts for Energy Conversion,"Renewable Energy, Sustainability and the Environment",Energy,Electrocatalysis; Energy Conversion; Oxygen Reduction; Hydrogen Evolution; Catalysts; Water Splitting; Nanomaterials; Fuel Cells; Metal-Organic Frameworks; Sustainable Energy,108960
https://openalex.org/T10512,Orthopaedic implants and arthroplasty,Surgery,Medicine,Hip Arthroplasty; Total Hip Replacement; Wear Particles; Metal-on-Metal Bearings; Osteolysis; Implant Failure; Revision Surgery; Cobalt Toxicity; Femoral Fractures; Minimally Invasive Approaches,108284
https://openalex.org/T10205,Fiber Optic Sensor Technology,Electrical and Electronic Engineering,Engineering,Fiber Optic Sensors; Optical Fiber; Sensor Technology; Brillouin Scattering; Surface Plasmon Resonance; Structural Health Monitoring; Long-Period Gratings; Photonic Crystal Fiber; Refractive Index Sensor; Distributed Sensing,107837
https://openalex.org/T10180,Analytical chemistry methods development,Analytical Chemistry,Chemistry,Molecularly Imprinted Polymers; Solid-Phase Microextraction; Dispersive Liquid-Liquid Microextraction; Green Analytical Chemistry; Sample Preparation Techniques; Metal Ion-Imprinted Polymers; Carbon Nanotubes; Ionic Liquids; Inductively Coupled Plasma Mass Spectrometry; Biosensing,107480
https://openalex.org/T11091,Extraction and Separation Processes,Mechanical Engineering,Engineering,Battery Recycling; Lithium-ion Batteries; Rare Earth Elements; Metal Recovery; Sustainable Technology; Environmental Impact; Hydrometallurgical Processes; Circular Economy; Resource Depletion; Global Supply,106798
https://openalex.org/T11878,Solid-state spectroscopy and crystallography,Materials Chemistry,Materials Science,Solid Acids; Protonic Conduction; Ferroelectricity; Fuel Cells; Electrical Properties; Crystal Structure; Dielectric Properties; Phase Transitions; Nuclear Quadrupole Resonance; High Temperature Behavior,106347
https://openalex.org/T10382,Quantum and electron transport phenomena,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Spintronics; Semiconductor Quantum Dots; Electron Spin; Quantum Computing; Spin Injection; Kondo Effect; Nuclear Spin; Quantum Hall State; Coherent Manipulation; Mesoscopic Systems,103163
https://openalex.org/T10083,Graphene research and applications,Materials Chemistry,Materials Science,Graphene; Two-dimensional Materials; Carbon Nanotubes; Nanocomposites; Raman Spectroscopy; Chemical Vapor Deposition; Electronic Properties; Graphene Oxide; Nanoribbons; Transparent Conductors,101023
https://openalex.org/T10092,Organometallic Complex Synthesis and Catalysis,Organic Chemistry,Chemistry,Catalysis; Transition Metal; Polymerization; Organometallic Chemistry; Bond Activation; Olefin; Hydrogenation; NMR Chemical Shifts; Pincer Complexes; Dinitrogen Reduction,100238
https://openalex.org/T10461,Gas Sensing Nanomaterials and Sensors,Electrical and Electronic Engineering,Engineering,Gas Sensors; Metal Oxide; Nanomaterials; Semiconductors; Gas Sensing Mechanisms; Room Temperature; Nanostructures; Humidity Sensors; Chemical Sensors; Selective Detection,100159
https://openalex.org/T10310,Corrosion Behavior and Inhibition,Materials Chemistry,Materials Science,Corrosion Inhibitors; Metal Corrosion; Electrochemical Impedance Spectroscopy; Organic Coatings; Molecular Dynamics Simulation; Green Inhibitors; Adsorption Properties; Quantum Chemical Studies; Self-Healing Coatings; Sulfate-Reducing Bacteria,99172
https://openalex.org/T10781,Plasma Diagnostics and Applications,Electrical and Electronic Engineering,Engineering,Plasma Etching; Semiconductor Industry; Atomic Layer Etching; Hall Thrusters; Electric Propulsion; Low Temperature Plasmas; Electron Energy Distribution Function; Spacecraft Propulsion; Ion-Molecule Collisions; Langmuir Probe,99074
https://openalex.org/T10783,Additive Manufacturing and 3D Printing Technologies,Automotive Engineering,Engineering,Additive Manufacturing; 3D Printing; Materials; Applications; Challenges; Fused Deposition Modeling; Biomedical Engineering; Polymer Composites; Sustainability; Ceramics,98426
https://openalex.org/T10479,Structural Behavior of Reinforced Concrete,Building and Construction,Engineering,Fiber-Reinforced Polymer Composites; Construction; Concrete Strengthening; FRP Confined Concrete; Structural Rehabilitation; Bond-Slip Models; Durability Performance; Axial Compression Behavior; Finite Element Analysis; Stressâ€“Strain Models,97757
https://openalex.org/T11178,Receptor Mechanisms and Signaling,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Crystal Structure; G-Protein-Coupled Receptors; Signal Transduction; Arrestin; Pharmacology; Drug Discovery; Receptor Activation; Biased Signaling; Cell Signaling; Molecular Mechanisms,97731
https://openalex.org/T10033,Concrete and Cement Materials Research,Civil and Structural Engineering,Engineering,Geopolymer; Cementitious Materials; Fly Ash; Alkali-Activated Materials; Sustainable Concrete; Carbon Emissions; Nanotechnology; Hydration Mechanisms; Environmental Impact; CO2 Sequestration,94880
https://openalex.org/T10188,Advanced machining processes and optimization,Mechanical Engineering,Engineering,Machining; Surface Integrity; Tool Wear; Cutting Parameters; Metal Cutting; Chatter Vibration; Minimum Quantity Lubrication; Composite Materials; High Speed Machining; Surface Roughness,94363
https://openalex.org/T10097,Luminescence Properties of Advanced Materials,Materials Chemistry,Materials Science,Upconversion Nanoparticles; Luminescent Materials; Nanocrystal Synthesis; Biological Imaging; Theranostics; Solar Cell Efficiency; Temperature Sensing; Rare Earth Ions; Photon Upconversion; Solid-State Lighting,94311
https://openalex.org/T11126,Metallurgical Processes and Thermodynamics,Mechanical Engineering,Engineering,Thermochemical; Metallurgy; Databases; Steel Casting; Slag Chemistry; Inclusion Control; Solidification Modeling; Mold Fluxes; Heat Recovery; Continuous Casting,93517
https://openalex.org/T10113,Dental materials and restorations,Orthodontics,Dentistry,Dental Materials; Restorative Dentistry; Adhesive Bonding; Composite Resins; Ceramic Restorations; Dentin Structure; CAD/CAM Technology; Polymerization Shrinkage; Clinical Trials; Tooth Restoration,93103
https://openalex.org/T10090,ZnO doping and properties,Materials Chemistry,Materials Science,Zinc Oxide; Nanostructures; Semiconductors; Ferromagnetism; Nanowires; Photodetectors; Doping; Optoelectronics; Transparent Conductors; Spintronics,91095
https://openalex.org/T10096,Metal-Organic Frameworks: Synthesis and Applications,Inorganic Chemistry,Chemistry,Metal-Organic Frameworks; Porous Materials; Gas Adsorption; Catalysis; Methane Storage; Crystal Engineering; Chemical Sensors; Drug Delivery; CO2 Capture; Heterogeneous Catalysis,90805
https://openalex.org/T10139,Heavy metals in environment,Pollution,Environmental Science,Heavy Metals; Contamination; Soil; Health Risk; Remediation; Bioavailability; Sediment; Pollution; Toxicity; Urban,90202
https://openalex.org/T10590,Chalcogenide Semiconductor Thin Films,Electrical and Electronic Engineering,Engineering,Thin-Film Solar Cells; Efficiency; CZTS; Kesterite; Photovoltaics; Semiconductor; Device Characteristics; Materials Modelling; Nanocrystals; Solar Cell Efficiency,89901
https://openalex.org/T10074,Carbon Nanotubes in Composites,Materials Chemistry,Materials Science,Nanotubes; Carbon; Composites; Properties; Functionalization; Electronics; Mechanical; Synthesis; Applications; Chemistry,89220
https://openalex.org/T10105,Osteoarthritis Treatment and Mechanisms,Rheumatology,Medicine,Osteoarthritis; Cartilage; Chondrocyte; Inflammation; Joint; Regeneration; Matrix Metalloproteinases; Synovitis; Hypertrophy; Mesenchymal Stem Cells,89110
